run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.002_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.002,256,0,15000,28.248161807274073,481.1839599609375,732.4525030772962,10.255775128804624,12850,463.7236633300781,3.409354604378697,38.29085302352905
sig0.05_lr0.002_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.002,256,0,15000,26.854024663990657,477.1087646484375,732.4525030772962,10.427113246886547,14150,456.7677307128906,3.3654836962984342,37.414798974990845
sig0.05_lr0.0005_B4096_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,4096,1,15000,36.15279883456206,221.38507080078125,732.4525030772962,33.73423212407131,14800,225.6769256591797,5.8837036800983356,515.9438931941986
sig0.05_lr0.002_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.002,256,0,15000,20.621562652392722,450.8392028808594,732.4525030772962,9.464159041855135,13700,457.23040771484375,2.641012466935955,38.13067293167114
sig0.05_lr0.002_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.002,256,0,15000,18.40209172745407,409.4015197753906,732.4525030772962,13.00318064975013,13900,430.9446105957031,2.620076538230705,36.91891884803772
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,4096,2,15000,31.09776681273217,258.5232849121094,732.4525030772962,28.411988291666262,14900,241.7013397216797,5.7549537017990255,395.49424386024475
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,4096,2,15000,30.961634877612543,255.96974182128906,732.4525030772962,28.55786120795528,14900,239.8995361328125,5.761496962398836,398.0700569152832
sig0.05_lr0.002_B256_td_beta0_s1,td,0.0,0.05,0.002,256,1,15000,17.780245340019086,411.7408752441406,732.4525030772962,10.80513681344087,14550,449.64898681640625,2.6459207201731347,30.08159899711609
sig0.05_lr0.002_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.002,256,1,15000,17.282312552474455,408.0364074707031,732.4525030772962,11.2818435990702,14550,442.8304138183594,2.599916553421247,40.263571977615356
sig0.05_lr0.002_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.002,256,1,15000,17.572441272066396,402.427490234375,732.4525030772962,11.689832270534065,14550,439.9324645996094,2.781223383026178,39.473387002944946
sig0.05_lr0.002_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.002,256,1,15000,19.754038461762857,372.49505615234375,732.4525030772962,10.746705205558266,13650,426.3642883300781,3.2086890640946395,40.72237515449524
sig0.05_lr0.002_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.002,256,1,15000,26.665598922423687,333.3299255371094,732.4525030772962,14.097812445518759,13750,408.4595031738281,3.8422410415520707,39.820037841796875
sig0.05_lr0.002_B256_td_beta0_s2,td,0.0,0.05,0.002,256,2,15000,22.01829408997378,547.2109985351562,732.4525030772962,8.716884234326463,14200,518.0748291015625,2.5901869378975277,29.423341989517212
sig0.05_lr0.0005_B4096_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.0005,4096,2,15000,30.583865126342204,249.70530700683594,732.4525030772962,29.096192168291733,14950,243.63050842285156,5.787957402309241,392.10136795043945
sig0.05_lr0.002_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.002,256,2,15000,19.126965809712548,530.598876953125,732.4525030772962,10.394425656397248,13750,537.28173828125,2.3851726853481265,37.309582233428955
sig0.05_lr0.002_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.002,256,2,15000,17.434879611660293,514.59228515625,732.4525030772962,10.446545736298964,13750,524.6506958007812,2.1929637574373855,36.098238945007324
sig0.05_lr0.002_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.002,256,2,15000,15.011690252909442,473.2025451660156,732.4525030772962,9.435489218414993,13750,488.4703674316406,2.055624924449773,36.88860011100769
sig0.05_lr0.002_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.002,256,2,15000,13.28675053060535,426.78863525390625,732.4525030772962,12.21645745402079,13750,447.2928771972656,2.446837561920768,36.9923791885376
sig0.05_lr0.002_B1024_td_beta0_s0,td,0.0,0.05,0.002,1024,0,15000,9.213531948124514,549.6943969726562,732.4525030772962,5.886645438949927,13200,534.9092407226562,1.3490116979062614,76.82046699523926
sig0.05_lr0.002_B1024_td_beta0_s1,td,0.0,0.05,0.002,1024,1,15000,11.172332822339927,569.7957763671875,732.4525030772962,7.237696085906509,13700,529.6206665039062,2.2221415834349134,79.19270777702332
sig0.05_lr0.002_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.002,1024,0,15000,9.394412528686571,545.6478881835938,732.4525030772962,6.216525356756684,13200,530.1331787109375,1.2807912430646653,95.1371750831604
sig0.05_lr0.002_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.002,1024,0,15000,11.011184006868126,536.52197265625,732.4525030772962,6.583921580332497,10800,481.34014892578125,1.2815387684900796,96.23302507400513
sig0.05_lr0.002_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.002,1024,0,15000,11.296091185411214,515.46142578125,732.4525030772962,7.17314205222445,12800,510.32598876953125,1.2559340369911247,96.1272840499878
sig0.05_lr0.002_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.002,1024,0,15000,15.58673168178644,473.4081115722656,732.4525030772962,12.453926718926862,11500,439.4606628417969,1.7685724964053293,95.88065886497498
sig0.05_lr0.002_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.002,1024,1,15000,10.598270923688174,558.7952270507812,732.4525030772962,6.78957103556107,13550,522.408447265625,2.0900280201089383,96.7631208896637
sig0.05_lr0.002_B1024_td_beta0_s2,td,0.0,0.05,0.002,1024,2,15000,11.46463721873975,582.1400146484375,732.4525030772962,5.541525768838343,11400,531.834228515625,2.0096128866425693,75.91016125679016
sig0.05_lr0.002_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.002,1024,1,15000,10.748500209494077,545.86181640625,732.4525030772962,7.311468863842647,13700,504.5309753417969,1.9640761830441886,97.14635396003723
sig0.05_lr0.002_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.002,1024,1,15000,11.432097061345017,516.9520263671875,732.4525030772962,6.69139629128872,14450,541.3028564453125,1.7331175358193327,97.1227240562439
sig0.05_lr0.002_B1024_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.002,1024,1,15000,15.399913979303848,469.8282470703125,732.4525030772962,10.4623992647335,13700,442.23931884765625,2.037568070578853,97.99415421485901
sig0.05_lr0.002_B1024_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.002,1024,2,15000,10.096864513635687,567.2633056640625,732.4525030772962,5.255040300219959,11400,525.9091186523438,1.6813078673915118,97.66351795196533
sig0.05_lr0.0005_B4096_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.0005,4096,2,15000,33.37986296648035,236.39547729492188,732.4525030772962,33.37986296648035,14999,236.39547729492188,5.897174811166021,403.0447931289673
