run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.005,256,1,15000,0.7115714288844412,nan,nan,0.15998949968028936,3600,nan,nan,85.51517724990845
sig0.05_lr0.005_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.005,256,2,15000,6.053627604516194,nan,nan,0.30248463027135436,5150,nan,nan,84.62974452972412
sig0.05_lr0.005_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.005,256,2,15000,2.1144017311260055,nan,nan,0.2790098402476611,2400,nan,nan,86.24445962905884
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.005,256,2,15000,0.9876038587193573,nan,nan,0.22939562121618018,1150,nan,nan,86.87740564346313
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.005,256,2,15000,0.5181265523379041,nan,nan,0.14890461650783457,2450,nan,nan,88.07474994659424
sig0.05_lr0.005_B1024_td_beta0_s0,td,0.0,0.05,0.005,1024,0,15000,5.926786296524168,nan,nan,0.20398837877693227,3200,nan,nan,110.13442349433899
sig0.05_lr0.002_B4096_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.002,4096,2,15000,0.33530181839778583,nan,nan,0.12461361645641415,3900,nan,nan,537.8619287014008
sig0.05_lr0.005_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.005,1024,0,15000,5.007041647136626,nan,nan,0.16311236147203442,2800,nan,nan,167.9052631855011
sig0.05_lr0.005_B1024_td_beta0_s1,td,0.0,0.05,0.005,1024,1,15000,6.0994222987983555,nan,nan,0.28509255931641525,800,nan,nan,115.61571741104126
sig0.05_lr0.005_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.005,1024,0,15000,6.735728584893326,nan,nan,0.2225604982187543,1800,nan,nan,175.00268650054932
sig0.05_lr0.005_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.005,1024,0,15000,4.952561489565168,nan,nan,0.15012298849155162,5450,nan,nan,176.77106475830078
sig0.05_lr0.005_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.005,1024,0,15000,0.3425321081585371,nan,nan,0.13922656643179415,2600,nan,nan,176.7673623561859
sig0.05_lr0.005_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.005,1024,1,15000,4.7578642332308085,nan,nan,0.236773311765168,2700,nan,nan,177.91317129135132
sig0.05_lr0.005_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.005,1024,1,15000,6.722750281681689,nan,nan,0.25764591405753023,3750,nan,nan,177.2525599002838
sig0.05_lr0.005_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.005,1024,1,15000,1.2122175249542289,nan,nan,0.2825924092431638,2250,nan,nan,177.71164727210999
sig0.05_lr0.005_B1024_td_beta0_s2,td,0.0,0.05,0.005,1024,2,15000,6.72617325021687,nan,nan,0.296434446848891,3650,nan,nan,115.52260208129883
sig0.05_lr0.005_B1024_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.005,1024,1,15000,0.6090046611510811,nan,nan,0.15493251537502828,1550,nan,nan,180.282399892807
sig0.05_lr0.005_B1024_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.005,1024,2,15000,1.55106064279987,nan,nan,0.2848882877057001,1900,nan,nan,184.97912859916687
sig0.05_lr0.005_B1024_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.005,1024,2,15000,2.8385174050083344,nan,nan,0.2729280017869368,1650,nan,nan,185.30161905288696
sig0.05_lr0.005_B1024_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.005,1024,2,15000,0.5160526173053199,nan,nan,0.20774399088630957,4450,nan,nan,189.61636924743652
sig0.05_lr0.005_B1024_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.005,1024,2,15000,1.0892913240997668,nan,nan,0.1460704489593324,1600,nan,nan,195.29872155189514
sig0.05_lr0.005_B4096_td_beta0_s0,td,0.0,0.05,0.005,4096,0,15000,5.882068727172971,nan,nan,0.22877640317559964,2200,nan,nan,344.07086515426636
sig0.05_lr0.005_B4096_td_beta0_s1,td,0.0,0.05,0.005,4096,1,15000,3.236128597868688,nan,nan,0.2115964029216248,2400,nan,nan,345.280797958374
sig0.05_lr0.005_B4096_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.005,4096,0,15000,2.2850677645581126,nan,nan,0.17560415341159263,2650,nan,nan,588.1542513370514
sig0.05_lr0.005_B4096_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.005,4096,0,15000,4.675330328842419,nan,nan,0.16576104329343486,2250,nan,nan,592.9523434638977
sig0.05_lr0.005_B4096_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.005,4096,0,15000,0.879383037416708,nan,nan,0.20161297977603038,1750,nan,nan,609.2264144420624
sig0.05_lr0.005_B4096_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.005,4096,0,15000,0.5098958322315659,nan,nan,0.12524272742689935,2600,nan,nan,608.7073488235474
sig0.05_lr0.005_B4096_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.005,4096,1,15000,4.470315893885854,nan,nan,0.2328025118134273,850,nan,nan,610.3296661376953
sig0.05_lr0.005_B4096_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.005,4096,1,15000,4.919481514731381,nan,nan,0.20449918312194168,3550,nan,nan,610.1746783256531
sig0.05_lr0.005_B4096_td_beta0_s2,td,0.0,0.05,0.005,4096,2,15000,6.328312705911756,nan,nan,0.17420197803402462,2700,nan,nan,369.13178539276123
sig0.2_lr0.0005_B256_td_beta0_s0,td,0.0,0.2,0.0005,256,0,15000,0.16582813964132784,nan,nan,0.1345284726360451,12950,nan,nan,177.0966510772705
sig0.05_lr0.005_B4096_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.005,4096,1,15000,6.076002335837128,nan,nan,0.214755089662645,1400,nan,nan,702.948822259903
sig0.05_lr0.005_B4096_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.005,4096,1,15000,0.8524398210377477,nan,nan,0.15005107446746901,3700,nan,nan,814.579222202301
sig0.2_lr0.0005_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.2,0.0005,256,0,15000,0.14859825496786758,nan,nan,0.10063024190011466,14150,nan,nan,242.36513805389404
sig0.2_lr0.0005_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.2,0.0005,256,0,15000,0.1659034077809971,nan,nan,0.10531088406219212,14550,nan,nan,242.27675080299377
sig0.05_lr0.005_B4096_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.005,4096,2,15000,2.7317626896642,nan,nan,0.16270220496855803,2550,nan,nan,867.961300611496
sig0.05_lr0.005_B4096_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.005,4096,2,15000,4.2357741881698265,nan,nan,0.24266074672091004,1000,nan,nan,872.68386054039
sig0.2_lr0.0005_B256_td_beta0_s1,td,0.0,0.2,0.0005,256,1,15000,0.24294969607368813,nan,nan,0.08893703221709202,13550,nan,nan,164.12515449523926
sig0.2_lr0.0005_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.2,0.0005,256,0,15000,0.21461944167341965,nan,nan,0.14081752796029207,13700,nan,nan,215.55784487724304
sig0.2_lr0.0005_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.2,0.0005,256,0,15000,0.4311045025358768,nan,nan,0.29483173545559715,13700,nan,nan,213.84627103805542
sig0.05_lr0.005_B4096_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.005,4096,2,15000,0.6948922341038507,nan,nan,0.18130242140442313,4600,nan,nan,915.3923411369324
sig0.2_lr0.0005_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.2,0.0005,256,1,15000,0.25555202993633724,nan,nan,0.1228655363760339,13100,nan,nan,186.12682557106018
sig0.2_lr0.0005_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.2,0.0005,256,1,15000,0.2553083428070537,nan,nan,0.10406644172930543,7850,nan,nan,184.83499765396118
sig0.2_lr0.0005_B256_td_beta0_s2,td,0.0,0.2,0.0005,256,2,15000,0.17040316094928662,nan,nan,0.11997814119990821,14000,nan,nan,136.08473324775696
sig0.2_lr0.0005_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.2,0.0005,256,1,15000,0.2638222202680384,nan,nan,0.11859497238927144,14450,nan,nan,184.52808952331543
